Date;Open;High;Low;Close;Adj Close;Volume
03/01/19;50,799999;50,939999;48,400002;49;35,659252;30120000
04/01/19;49,82;52,450001;49,82;52,189999;37,98074;43360100
07/01/19;52,869999;53,650002;51,720001;51,91;37,776974;20998900
08/01/19;52,200001;52,799999;51,619999;52,41;38,14085;19925600
09/01/19;53,16;54,060001;52,830002;53,689999;39,072346;27695500
10/01/19;53,23;53,290001;52,27;53,099998;38,642982;18113600
11/01/19;53,259998;53,459999;52,380001;52,380001;38,119015;12360400
14/01/19;51,98;52,700001;51,43;52,599998;38,279114;14626300
15/01/19;52,849998;53,200001;51,869999;52,349998;38,097183;14480300
16/01/19;52,400002;52,82;52,200001;52,650002;38,315506;15375100
17/01/19;52,439999;54,709999;52,27;54,23;39,465328;25525500
18/01/19;54,950001;55,599998;54,25;54,759998;39,851036;25815900
21/01/19;54,849998;55,349998;54,389999;55,279999;40,229458;10676600
22/01/19;54,48;55,080002;54,349998;55,080002;40,083912;17154300
23/01/19;55,459999;55,900002;55,330002;55,650002;40,498726;13470400
24/01/19;55,799999;56,200001;55,5;56,150002;40,862595;14118200
28/01/19;45;45;42,360001;42,360001;30,827061;183534500
29/01/19;43,27;44,689999;42,599998;42,740002;31,103601;68335900
30/01/19;46,25;46,799999;44,98;46,599998;33,912674;67892500
31/01/19;46,990002;47,439999;45,5;45,5;33,11216;39814600
01/02/19;45,720001;46,330002;45,580002;46,25;33,65797;21286700
04/02/19;46;46,099998;44,049999;44,68;32,515419;35888900
05/02/19;44,450001;45,209999;43,810001;44,52;32,398979;21992300
06/02/19;44;44,400002;42,459999;42,459999;30,899834;29257400
07/02/19;42,150002;42,790001;41,209999;41,59;30,266701;31403200
08/02/19;40,639999;43,59;40,509998;43,16;31,409252;48169600
11/02/19;43,860001;44,049999;41,889999;42,02;30,579628;30697300
12/02/19;42,5;44,330002;42,049999;44,299999;32,238873;36421200
13/02/19;44,310001;45,990002;44,299999;45,490002;33,104885;38153200
14/02/19;45,389999;45,939999;45,049999;45,66;33,228603;24055400
15/02/19;45,400002;46,02;45,189999;45,880001;33,388706;27877700
18/02/19;45,790001;46,150002;44,900002;45,25;32,930229;18777400
19/02/19;45,5;45,939999;45,23;45,490002;33,104885;20523500
20/02/19;45,900002;46,080002;44,939999;45,799999;33,330486;25493000
21/02/19;45,84;46,09;45,130001;45,380001;33,02483;21401300
22/02/19;45,700001;47,060001;45,57;46,990002;34,196499;17580700
25/02/19;47,349998;47,75;46,400002;47,119999;34,2911;16801500
26/02/19;46,790001;47,290001;46,599998;47,200001;34,349319;10362900
27/02/19;47,25;47,25;46,34;46,830002;34,080059;15004800
28/02/19;46,580002;47,099998;46,099998;47,099998;34,276546;17877800
01/03/19;47,290001;47,5;44,549999;46,740002;34,014561;29872100
06/03/19;47,43;48,049999;47,189999;48,049999;34,967899;15244200
07/03/19;47,830002;48,959999;47,720001;48,860001;35,557369;21112500
08/03/19;48,259998;48,889999;47,650002;48,849998;35,550091;25446000
11/03/19;48,900002;49,950001;48,610001;49,880001;36,299667;20201600
12/03/19;49,799999;50,330002;49,549999;49,970001;36,365166;15591300
13/03/19;49,939999;51;49,700001;50,700001;36,896412;21999200
14/03/19;50,799999;50,93;50,200001;50,709999;36,903687;17257400
15/03/19;50,799999;51,240002;50,400002;50,549999;36,787251;26054400
18/03/19;50,25;50,669998;49,830002;50,459999;36,721752;23021400
19/03/19;50,700001;52,389999;50,59;51,900002;37,769699;32034400
20/03/19;51,450001;51,68;50,400002;50,560001;36,794533;25667000
21/03/19;50,529999;51,470001;50,509998;50,889999;37,034679;19660000
22/03/19;50,470001;51,330002;49,700001;50,049999;36,423378;25714700
25/03/19;49,599998;50,310001;49,16;49,549999;36,059505;15897500
26/03/19;49,810001;50,700001;49,799999;50,279999;36,590755;13413800
27/03/19;50,049999;50,740002;49,310001;49,599998;36,095901;20805100
28/03/19;50,509998;50,599998;48,619999;49,299999;35,877575;28490000
29/03/19;49,950001;51,599998;49,950001;50,93;37,063789;25118100
01/04/19;52,349998;53,049999;52,099998;52,599998;38,279114;25392200
02/04/19;53,049999;53,299999;51,630001;51,630001;37,573208;21442400
03/04/19;52,779999;52,830002;51,610001;51,779999;37,682369;21477200
04/04/19;52;52,459999;51,619999;52,16;37,958908;14145700
05/04/19;52,200001;52,360001;51,700001;51,98;37,827915;8359200
08/04/19;52,5;53,389999;52,360001;53,389999;38,854034;14400900
09/04/19;53,18;53,299999;52,299999;52,349998;38,097183;14745400
10/04/19;52,740002;52,740002;51,52;51,759998;37,667816;15608000
11/04/19;51,5;51,860001;50,93;51,790001;37,689648;10274300
12/04/19;52,09;52,720001;51,310001;51,48;37,464046;16905900
15/04/19;51,59;51,720001;50,779999;51,330002;37,354885;15787300
16/04/19;51,27;53,16;50,84;53,099998;38,642982;18935600
